throughput_mbps,congestion_ratio,packet_loss_percent,latency_ms,jitter_ms,line_down
79.97,0.7997,7.32,15.21,2.54,0
46.66,0.4666,3.99,3.67,1.49,0
24.95,0.2495,1.59,7.8,1.71,0
26.77,0.2677,4.52,20.2,3.18,0
75.96,0.7596,7.05,29.84,3.82,0
35.55,0.3555,6.73,34.73,4.56,0
66.41,0.6641,6.56,40.89,5.38,0
64.78,0.6478,5.6,27.85,3.13,0
76.44,0.7644,0.74,7.46,1.07,0
42.8,0.428,4.94,20.15,3.24,0
58.22,0.5822,0.79,15.99,2.69,0
48.65,0.4865,4.87,6.51,0.84,0
45.89,0.4589,11.21,28.27,3.13,0
61.81,0.6181,8.98,14.8,2.33,0
30.7,0.307,2.6,9.99,1.77,0
48.53,0.4853,6.04,16.26,2.7,0
75.75,0.7575,5.98,21.86,3.38,0
53.44,0.5344,5.02,14.16,2.28,0
39.81,0.3981,7.67,35.83,4.18,0
72.79,0.7279,6.11,28.58,2.97,0
75.95,0.7595,2.34,35.23,4.58,0
73.96,0.7396,4.81,24.9,3.2,0
61.86,0.6186,8.42,16.14,2.66,0
53.79,0.5379,3.37,26.87,3.62,0
29.93,0.2993,13.58,36.17,4.71,0
66.15,0.6615,8.84,24.05,3.25,0
69.13,0.6913,10.32,41.07,4.55,0
47.61,0.4761,8.41,17.7,2.39,0
60.71,0.6071,7.94,37.52,4.06,0
72.17,0.7217,5.24,34.46,3.91,0
74.53,0.7453,4.44,19.99,3.25,0
66.21,0.6621,1.06,3.47,2.26,0
20.54,0.2054,6.08,38.34,5.67,0
33.23,0.3323,11.72,49.41,5.98,1
78.55,0.7855,1.59,15.57,3.14,0
22.73,0.2273,10.97,34.91,4.02,0
15.33,0.1533,5.43,34.82,4.83,0
60.11,0.6011,8.92,21.81,3.27,0
85.35,0.8535,5.13,18.09,1.94,0
44.6,0.446,5.15,27.38,4.13,0
29.18,0.2918,5.02,30.81,4.9,0
38.78,0.3878,5.78,29.75,4.3,0
75.99,0.7599,9.05,29.38,4.62,0
37.83,0.3783,5.8,28.66,4.36,0
78.11,0.7811,2.82,12.96,2.4,0
50.85,0.5085,4.33,35.82,4.26,0
47.99,0.4799,8.3,43.14,5.09,0
61.84,0.6184,7.32,14.28,1.74,0
80.54,0.8054,6.4,8.3,1.88,0
28.87,0.2887,8.66,37.04,4.72,0
42.13,0.4213,3.72,27.76,4.32,0
50.82,0.5082,0.82,20.66,2.87,0
63.02,0.6302,4.61,24.79,3.35,0
22.71,0.2271,3.09,16.91,2.24,0
93.52,0.9352,4.6,19.84,2.1,0
58.15,0.5815,4.64,9.06,2.74,0
54.55,0.5455,10.83,28.22,3.78,0
55.11,0.5511,6.49,11.62,1.45,0
73.5,0.735,7.95,21.27,3.3,0
62.36,0.6236,6.11,25.95,3.22,0
35.73,0.3573,5.89,19.41,2.84,0
53.33,0.5333,8.93,28.37,4.08,0
75.68,0.7568,8.54,33.22,4.4,0
28.0,0.28,7.48,36.9,4.47,0
24.27,0.2427,5.88,13.26,2.57,0
32.33,0.3233,9.02,22.86,3.51,0
48.44,0.4844,10.57,40.96,5.49,0
58.64,0.5864,4.54,31.92,3.86,0
83.08,0.8308,4.86,9.2,1.7,0
33.17,0.3317,6.6,25.74,4.41,0
35.11,0.3511,10.52,31.22,3.84,0
47.4,0.474,9.34,34.78,4.92,0
39.79,0.3979,4.23,16.88,3.49,0
33.66,0.3366,4.11,30.99,4.95,0
45.23,0.4523,0.92,24.89,3.89,0
53.41,0.5341,9.95,20.65,2.14,0
