timestamp,src,dst,congestion,packet_size,latency_ms,jitter_ms,packet_loss_pct,throughput_mbps,network_load_pct,bandwidth_usage_mbps,routing_failures
1767297780.8677156,h2_1_0,h1_1_0,0,1500,1.4299,0.1274,0.0,822.04,75.41,754.11,0
1767297780.8677444,h1_1_1,h3_0_1,1,1024,0,0.5141,100.0,0,30.06,300.55,1
1767297780.8677595,h1_1_1,h0_1_0,0,64,1.3149,0.0817,0.0,775.41,75.54,755.42,0
1767297780.8677697,h3_0_0,h3_0_1,1,512,0.9401,0.1724,5.65,240.75,22.83,228.33,0
1767297780.8677788,h2_0_0,h1_0_0,0,128,1.2183,0.0904,0.0,770.66,71.47,714.74,0
1767297780.8677871,h1_0_0,h2_1_1,1,64,3.2143,0.5144,14.807,114.83,11.14,111.41,0
1767297780.8677943,h2_0_0,h1_0_0,0,1024,1.4022,0.1958,0.0,726.06,69.26,692.65,0
1767297780.8678014,h2_0_1,h0_1_0,1,1024,3.4483,0.4266,7.537,258.26,24.74,247.37,0
1767297780.8678095,h0_0_0,h0_0_1,0,1024,0.2601,0.0494,0.0,820.6,80.99,809.91,0
1767297780.8678176,h2_1_0,h3_1_1,1,1500,1.4459,0.1158,0.0,906.34,89.63,896.29,0
1767297780.8678248,h1_0_0,h0_0_0,0,64,1.4926,0.139,0.0,797.27,72.75,727.46,0
1767297780.8678324,h1_0_0,h2_0_1,0,1500,1.2146,0.1298,0.0,879.16,84.09,840.89,0
1767297780.8678389,h0_0_0,h2_1_0,0,512,1.3677,0.2445,0.0,815.36,76.32,763.23,0
1767297780.8678458,h3_0_0,h2_1_1,1,64,1.2643,0.2219,0.0,869.4,86.83,868.34,0
1767297780.8678527,h1_1_0,h3_0_1,0,64,1.3953,0.0715,0.0,706.07,64.6,646.01,0
1767297780.8678594,h2_0_1,h1_1_1,0,512,1.2054,0.1521,0.0,782.42,74.45,744.5,0
1767297780.867866,h2_1_1,h0_1_1,0,64,1.3308,0.0709,0.0,718.57,66.11,661.13,0
