time,flowId,srcIP,dstIP,txPkts,rxPkts,lostPkts,throughputMbps,delayMs,jitterMs,label
1.000000,1,10.0.24.2,10.0.56.2,10699,10699,0,50.317728,6.041689,0.005189,0
1.000000,2,10.0.56.2,10.0.24.2,5501,5408,0,2.263584,6.002850,0.000134,0
1.000000,3,10.0.41.2,10.0.53.2,4036,4036,0,18.976800,6.035019,0.005388,0
1.000000,4,10.0.53.2,10.0.41.2,2135,2088,0,0.878880,6.004797,0.000631,0
1.000000,5,10.0.78.2,10.0.28.2,2010,2010,0,8.836192,6.085467,0.005903,0
1.000000,6,10.0.28.2,10.0.78.2,1006,1006,0,0.418656,6.002593,0.000002,0
1.000000,7,10.0.64.2,10.0.48.2,1871,1871,0,8.786944,6.054363,0.005613,0
1.000000,8,10.0.48.2,10.0.64.2,1029,1029,0,0.437120,6.002664,0.000095,0
1.000000,9,10.0.43.2,10.0.48.2,2010,2010,0,8.836192,6.085451,0.005903,0
1.000000,10,10.0.48.2,10.0.43.2,1006,1006,0,0.418528,6.002593,0.000001,0
1.000000,11,10.0.73.2,10.0.26.2,2010,2010,0,8.836192,6.087331,0.006001,0
1.000000,12,10.0.26.2,10.0.73.2,1009,1009,0,0.420096,6.003303,0.001189,0
1.000000,13,10.0.71.2,10.0.29.2,2010,2010,0,8.836192,6.087375,0.005913,0
1.000000,14,10.0.29.2,10.0.71.2,1006,1006,0,0.418656,6.003245,0.000829,0
1.000000,15,10.0.46.2,10.0.74.2,2010,2010,0,8.836192,6.085628,0.005912,0
1.000000,16,10.0.74.2,10.0.46.2,1006,1006,0,0.418528,6.003175,0.000653,0
1.000000,17,10.0.29.2,10.0.67.2,2010,2010,0,8.836192,6.110939,0.006066,0
1.000000,18,10.0.67.2,10.0.29.2,1006,1006,0,0.418656,6.002593,0.000002,0
1.000000,19,10.0.62.2,10.0.25.2,2010,2010,0,8.836192,6.085451,0.005903,0
1.000000,20,10.0.25.2,10.0.62.2,1006,1006,0,0.418528,6.002593,0.000001,0
1.000000,21,10.0.26.2,10.0.42.2,10418,10409,0,45.034976,6.043820,0.005654,0
1.000000,22,10.0.42.2,10.0.26.2,5205,5076,0,2.111712,6.002640,0.000069,0
1.000000,23,10.0.61.2,10.0.75.2,7695,7570,0,33.658784,6.049349,0.005623,0
1.000000,24,10.0.75.2,10.0.61.2,3895,3895,0,1.631616,6.003020,0.000213,0
1.000000,25,10.0.32.2,10.0.69.2,1288,1227,0,5.763264,6.050218,0.006059,0
1.000000,26,10.0.69.2,10.0.32.2,701,701,0,0.300160,6.002730,0.000197,0
1.000000,27,10.0.66.2,10.0.40.2,3734,3467,0,15.119584,6.066405,0.005814,0
1.000000,28,10.0.40.2,10.0.66.2,1739,1739,0,0.723968,6.003177,0.000597,0
1.000000,29,10.0.39.2,10.0.17.2,2010,2010,0,8.836192,6.086691,0.005904,0
1.000000,30,10.0.17.2,10.0.39.2,1006,1006,0,0.418528,6.002825,0.000118,0
1.000000,31,10.0.27.2,10.0.51.2,3200,2933,0,12.818400,6.069551,0.005766,0
1.000000,32,10.0.35.2,10.0.79.2,2010,2010,0,8.836192,6.087182,0.005910,0
1.000000,33,10.0.51.2,10.0.27.2,1467,1467,0,0.610368,6.002592,0.000001,0
1.000000,34,10.0.79.2,10.0.35.2,1006,1006,0,0.418656,6.002819,0.000284,0
1.000000,35,10.0.74.2,10.0.17.2,1865,1842,0,8.117312,6.096968,0.006069,0
1.000000,36,10.0.17.2,10.0.74.2,922,800,0,0.332896,6.003901,0.002038,0
1.000000,37,10.0.23.2,10.0.77.2,1064,797,0,3.613664,6.162418,0.006457,0
1.000000,38,10.0.77.2,10.0.23.2,399,399,0,0.166080,6.002593,0.000002,0
1.000000,39,10.0.22.2,10.0.75.2,797,659,0,3.018976,6.186724,0.006705,0
1.000000,40,10.0.75.2,10.0.22.2,330,265,0,0.110272,6.002798,0.000194,0
1.000000,41,10.0.48.2,10.0.44.2,132,65,0,0.297216,6.071552,0.011456,0
1.000000,42,10.0.44.2,10.0.48.2,39,39,0,0.016768,6.005113,0.003617,0
1.000000,43,10.0.38.2,10.0.29.2,1,0,0,0.000000,0.000000,0.000000,0
2.000000,1,10.0.24.2,10.0.56.2,7973,7973,0,37.497024,6.032097,0.005038,0
2.000000,2,10.0.56.2,10.0.24.2,4071,4164,0,1.741952,6.002929,0.000551,0
2.000000,3,10.0.41.2,10.0.53.2,5927,5927,0,27.880608,6.039271,0.006030,0
2.000000,4,10.0.53.2,10.0.41.2,2982,2983,0,1.244256,6.024855,0.005637,0
2.000000,5,10.0.78.2,10.0.28.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,6,10.0.28.2,10.0.78.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,7,10.0.64.2,10.0.48.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,8,10.0.48.2,10.0.64.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,9,10.0.43.2,10.0.48.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,10,10.0.48.2,10.0.43.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,11,10.0.73.2,10.0.26.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,12,10.0.26.2,10.0.73.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,13,10.0.71.2,10.0.29.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,14,10.0.29.2,10.0.71.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,15,10.0.46.2,10.0.74.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,16,10.0.74.2,10.0.46.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,17,10.0.29.2,10.0.67.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,18,10.0.67.2,10.0.29.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,19,10.0.62.2,10.0.25.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,20,10.0.25.2,10.0.62.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,21,10.0.26.2,10.0.42.2,9545,9554,0,43.315648,6.033219,0.005382,0
2.000000,22,10.0.42.2,10.0.26.2,4901,5030,0,2.105216,6.003121,0.000610,0
2.000000,23,10.0.61.2,10.0.75.2,8887,8921,0,41.964384,6.033119,0.005423,0
2.000000,24,10.0.75.2,10.0.61.2,4628,4627,1,1.940512,6.012936,0.001894,0
2.000000,25,10.0.32.2,10.0.69.2,6940,6895,0,32.434080,6.041243,0.006621,0
2.000000,26,10.0.69.2,10.0.32.2,3508,3508,0,1.464320,6.003575,0.000884,0
2.000000,27,10.0.66.2,10.0.40.2,15250,15517,0,72.786368,6.040009,0.005716,0
2.000000,28,10.0.40.2,10.0.66.2,7832,7832,0,3.264512,6.006280,0.001403,0
2.000000,29,10.0.39.2,10.0.17.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,30,10.0.17.2,10.0.39.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,31,10.0.27.2,10.0.51.2,17303,17570,0,75.710880,6.040324,0.005634,0
2.000000,32,10.0.35.2,10.0.79.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,33,10.0.51.2,10.0.27.2,8795,8795,0,3.659680,6.005153,0.002231,0
2.000000,34,10.0.79.2,10.0.35.2,0,0,0,0.000000,0.000000,0.000000,0
2.000000,35,10.0.74.2,10.0.17.2,12967,12954,22,58.067488,6.054748,0.005912,0
2.000000,36,10.0.17.2,10.0.74.2,6886,6961,0,2.949472,6.004247,0.001571,0
2.000000,37,10.0.23.2,10.0.77.2,946,1213,0,5.222528,6.034906,0.005543,0
2.000000,38,10.0.77.2,10.0.23.2,607,607,0,0.252576,6.002593,0.000001,0
2.000000,39,10.0.22.2,10.0.75.2,1213,1351,0,5.817216,6.035818,0.005533,0
2.000000,40,10.0.75.2,10.0.22.2,676,741,0,0.308320,6.002621,0.000049,0
2.000000,41,10.0.48.2,10.0.44.2,14866,14784,0,69.536192,6.049086,0.005929,0
2.000000,42,10.0.44.2,10.0.48.2,7484,7484,0,3.121280,6.007776,0.002548,0
2.000000,43,10.0.38.2,10.0.29.2,20502,20503,0,88.529280,6.045869,0.005858,0
2.000000,44,10.0.29.2,10.0.38.2,10398,10398,0,4.338848,6.004465,0.000633,0
2.000000,45,10.0.56.2,10.0.28.2,11476,11464,0,53.256064,6.041924,0.005196,0
2.000000,46,10.0.28.2,10.0.56.2,5776,5705,0,2.378432,6.008203,0.002649,0
2.000000,47,10.0.21.2,10.0.34.2,2010,2010,0,8.836192,6.087103,0.006029,0
2.000000,48,10.0.55.2,10.0.69.2,1926,1926,0,8.812928,6.110761,0.006455,0
2.000000,49,10.0.34.2,10.0.21.2,1006,1006,0,0.418592,6.004987,0.001820,0
2.000000,50,10.0.69.2,10.0.55.2,1017,1017,0,0.428032,6.004931,0.001933,0
2.000000,51,10.0.28.2,10.0.66.2,14615,14615,0,64.063424,6.042094,0.005693,0
2.000000,52,10.0.66.2,10.0.28.2,7419,7372,0,3.081440,6.002936,0.000509,0
2.000000,53,10.0.16.2,10.0.68.2,1884,1884,0,8.848096,6.056965,0.007177,0
2.000000,54,10.0.68.2,10.0.16.2,1081,1081,0,0.464512,6.003296,0.000677,0
2.000000,55,10.0.77.2,10.0.27.2,2097,2084,13,9.656704,6.171719,0.006618,0
2.000000,56,10.0.27.2,10.0.77.2,1355,1355,0,0.625280,6.004270,0.001592,0
2.000000,57,10.0.79.2,10.0.68.2,20503,20503,0,88.529280,4.037948,0.006101,0
2.000000,58,10.0.68.2,10.0.79.2,10253,10253,0,4.265280,4.003464,0.000807,0
2.000000,59,10.0.40.2,10.0.35.2,20021,19956,0,86.176576,4.039912,0.005847,0
2.000000,60,10.0.35.2,10.0.40.2,9978,9877,0,4.108864,4.007824,0.001184,0
2.000000,61,10.0.53.2,10.0.19.2,8971,8778,0,41.166944,6.046958,0.005548,0
2.000000,62,10.0.19.2,10.0.53.2,4619,4619,0,1.942336,6.003799,0.001290,0
2.000000,63,10.0.31.2,10.0.56.2,2009,2009,0,8.835776,6.099318,0.006750,0
2.000000,64,10.0.56.2,10.0.31.2,1016,1016,0,0.423712,6.007433,0.003574,0
2.000000,65,10.0.65.2,10.0.62.2,1873,1873,0,8.796352,6.036454,0.006107,0
2.000000,66,10.0.62.2,10.0.65.2,986,986,0,0.414880,6.003240,0.000975,0
2.000000,67,10.0.58.2,10.0.36.2,2010,2010,0,8.836192,6.086370,0.005904,0
2.000000,68,10.0.36.2,10.0.58.2,1006,1006,0,0.418592,6.002665,0.000113,0
2.000000,69,10.0.68.2,10.0.59.2,2010,2010,0,8.836192,6.087211,0.006059,0
2.000000,70,10.0.59.2,10.0.68.2,1006,1006,0,0.418656,6.013018,0.003789,0
2.000000,71,10.0.20.2,10.0.78.2,2161,2161,0,9.576032,6.089850,0.005601,0
2.000000,72,10.0.78.2,10.0.20.2,1333,1333,0,0.570240,6.003929,0.001694,0
2.000000,73,10.0.34.2,10.0.23.2,5829,5821,0,27.363776,6.053730,0.005939,0
2.000000,74,10.0.25.2,10.0.70.2,7238,7062,0,31.484640,6.058126,0.005961,0
2.000000,75,10.0.23.2,10.0.34.2,2987,2899,0,1.213248,6.002822,0.000318,0
2.000000,76,10.0.70.2,10.0.25.2,3588,3588,0,1.499232,6.002604,0.000015,0
