time,flowId,srcIP,dstIP,txPkts,rxPkts,lostPkts,throughputMbps,delayMs,jitterMs,label
1.000000,1,10.0.51.2,10.0.59.2,14960,14960,0,65.553632,8.035880,0.004373,0
1.000000,2,10.0.59.2,10.0.51.2,7480,7349,0,3.057216,8.003845,0.000624,0
1.000000,3,10.0.30.2,10.0.38.2,9158,9158,0,40.287776,12.045375,0.004653,0
1.000000,4,10.0.38.2,10.0.30.2,4852,4711,0,1.981888,12.006525,0.000707,0
1.000000,5,10.0.77.2,10.0.21.2,8385,8385,0,36.867264,12.056409,0.004730,0
1.000000,6,10.0.34.2,10.0.42.2,13119,13119,0,57.527616,8.049809,0.004605,0
1.000000,7,10.0.42.2,10.0.34.2,6560,6429,0,2.674496,8.002482,0.000452,0
1.000000,8,10.0.21.2,10.0.77.2,4445,4303,0,1.810560,12.003120,0.000534,0
1.000000,9,10.0.78.2,10.0.22.2,8114,7852,0,34.563424,12.044948,0.004588,0
1.000000,10,10.0.22.2,10.0.78.2,4155,4155,0,1.748416,12.004405,0.000675,0
1.000000,11,10.0.22.2,10.0.30.2,11811,11811,0,51.790848,8.041411,0.004550,0
1.000000,12,10.0.30.2,10.0.22.2,5906,5774,0,2.402016,8.001837,0.000079,0
1.000000,13,10.0.49.2,10.0.57.2,11548,11287,0,49.496320,8.032885,0.004379,0
1.000000,14,10.0.57.2,10.0.49.2,5644,5644,0,2.347936,8.004285,0.000689,0
1.000000,15,10.0.71.2,10.0.79.2,11021,11021,0,48.346112,8.041157,0.004418,0
1.000000,16,10.0.79.2,10.0.71.2,5511,5379,0,2.237696,8.008900,0.000768,0
1.000000,17,10.0.59.2,10.0.67.2,6295,6287,0,27.674176,12.049789,0.004715,0
1.000000,18,10.0.70.2,10.0.78.2,9965,9707,0,42.601280,8.037493,0.004423,0
1.000000,19,10.0.67.2,10.0.59.2,3352,3217,0,1.355776,12.006324,0.001363,0
1.000000,20,10.0.78.2,10.0.70.2,4854,4854,0,2.019296,8.004167,0.000765,0
1.000000,21,10.0.56.2,10.0.64.2,6026,5765,0,25.406656,12.053101,0.004682,0
1.000000,22,10.0.64.2,10.0.56.2,3061,3061,0,1.288576,12.004308,0.001079,0
1.000000,23,10.0.36.2,10.0.44.2,7866,7866,0,34.566240,8.060470,0.004870,0
1.000000,24,10.0.44.2,10.0.36.2,3933,3803,0,1.582080,8.001856,0.000128,0
1.000000,25,10.0.28.2,10.0.36.2,4464,4201,0,18.513536,12.058336,0.004775,0
1.000000,26,10.0.36.2,10.0.28.2,2233,2233,0,0.940480,12.006972,0.001028,0
1.000000,27,10.0.63.2,10.0.71.2,3940,3675,0,16.219904,12.065492,0.004821,0
1.000000,28,10.0.71.2,10.0.63.2,1936,1936,0,0.814176,12.003975,0.000606,0
1.000000,29,10.0.65.2,10.0.73.2,5770,5770,0,25.388576,8.040677,0.004415,0
1.000000,30,10.0.73.2,10.0.65.2,2885,2755,0,1.146112,8.001756,0.000032,0
1.000000,31,10.0.47.2,10.0.55.2,3143,3143,0,13.919488,12.066743,0.004932,0
1.000000,32,10.0.43.2,10.0.51.2,3152,2893,0,12.778496,12.070054,0.005100,0
1.000000,33,10.0.55.2,10.0.47.2,1662,1523,0,0.640640,12.006988,0.002130,0
1.000000,34,10.0.51.2,10.0.43.2,1515,1515,0,0.636544,12.005742,0.001705,0
1.000000,35,10.0.37.2,10.0.45.2,3938,3938,0,17.364960,8.112096,0.005559,0
1.000000,36,10.0.57.2,10.0.65.2,2377,2115,0,9.347776,12.087911,0.005211,0
1.000000,37,10.0.45.2,10.0.37.2,1969,1837,0,0.764224,8.001728,0.000000,0
1.000000,38,10.0.65.2,10.0.57.2,1112,1112,0,0.467872,12.004519,0.001862,0
1.000000,39,10.0.42.2,10.0.50.2,2108,1846,0,8.189856,12.090400,0.005216,0
1.000000,40,10.0.50.2,10.0.42.2,970,970,0,0.407712,12.003673,0.000623,0
1.000000,41,10.0.39.2,10.0.47.2,3146,3146,0,13.917728,8.065465,0.005981,0
1.000000,42,10.0.47.2,10.0.39.2,1573,1444,0,0.600736,8.001728,0.000000,0
1.000000,43,10.0.20.2,10.0.28.2,3146,2888,0,12.773856,8.059665,0.004675,0
1.000000,44,10.0.67.2,10.0.75.2,3146,2888,0,12.773856,8.058418,0.004675,0
1.000000,45,10.0.60.2,10.0.68.2,1577,1577,0,7.045696,12.102777,0.005288,0
1.000000,46,10.0.28.2,10.0.20.2,1444,1444,0,0.600736,8.001827,0.000083,0
