time,flowId,srcIP,dstIP,txPkts,rxPkts,lostPkts,throughputMbps,delayMs,jitterMs,label
1.000000,1,10.0.51.2,10.0.59.2,843,835,0,9.996864,8.482809,0.005391,0
1.000000,2,10.0.59.2,10.0.51.2,418,414,0,0.172256,8.054721,0.017041,0
1.000000,3,10.0.30.2,10.0.38.2,810,799,0,9.564864,12.735088,0.015712,0
1.000000,4,10.0.38.2,10.0.30.2,400,394,0,0.163936,12.037733,0.007520,0
1.000000,5,10.0.77.2,10.0.21.2,740,729,0,8.724864,12.738722,0.020184,0
1.000000,6,10.0.34.2,10.0.42.2,744,737,0,8.820864,8.506402,0.010339,0
1.000000,7,10.0.42.2,10.0.34.2,369,365,0,0.151872,8.025868,0.011854,0
1.000000,8,10.0.21.2,10.0.77.2,365,360,0,0.149792,12.095536,0.039839,0
1.000000,9,10.0.78.2,10.0.22.2,712,701,0,8.388864,12.739260,0.021848,0
1.000000,10,10.0.22.2,10.0.78.2,351,346,0,0.143968,12.118568,0.021223,0
1.000000,11,10.0.22.2,10.0.30.2,677,669,0,8.004864,8.500397,0.007555,0
1.000000,12,10.0.30.2,10.0.22.2,335,331,0,0.137728,8.023782,0.008524,0
1.000000,13,10.0.49.2,10.0.57.2,656,649,0,7.764864,8.483160,0.006015,0
1.000000,14,10.0.57.2,10.0.49.2,325,321,0,0.133568,8.039311,0.026335,0
1.000000,15,10.0.71.2,10.0.79.2,636,628,0,7.512864,8.485673,0.011317,0
1.000000,16,10.0.79.2,10.0.71.2,314,311,0,0.129408,8.081067,0.008132,0
1.000000,17,10.0.59.2,10.0.67.2,573,562,0,6.720864,12.752129,0.040177,0
1.000000,18,10.0.70.2,10.0.78.2,573,566,0,6.768864,8.486806,0.013034,0
1.000000,19,10.0.67.2,10.0.59.2,281,276,0,0.114848,12.041005,0.022368,0
1.000000,20,10.0.78.2,10.0.70.2,283,280,0,0.116512,8.042015,0.009537,0
1.000000,21,10.0.56.2,10.0.64.2,544,533,0,6.372864,12.757013,0.046523,0
1.000000,22,10.0.64.2,10.0.56.2,267,262,0,0.109024,12.041152,0.018036,0
1.000000,23,10.0.36.2,10.0.44.2,468,461,0,5.508864,8.485275,0.011466,0
1.000000,24,10.0.44.2,10.0.36.2,231,227,0,0.094464,8.027488,0.014351,0
1.000000,25,10.0.28.2,10.0.36.2,420,409,0,4.884864,12.753456,0.033024,0
1.000000,26,10.0.36.2,10.0.28.2,205,199,0,0.082816,12.105723,0.022194,0
1.000000,27,10.0.63.2,10.0.71.2,382,371,0,4.428864,12.797061,0.078011,0
1.000000,28,10.0.71.2,10.0.63.2,186,181,0,0.075328,12.055315,0.043309,0
1.000000,29,10.0.65.2,10.0.73.2,356,349,0,4.164864,8.489676,0.016580,0
1.000000,30,10.0.73.2,10.0.65.2,175,171,0,0.071168,8.046844,0.027092,0
1.000000,31,10.0.47.2,10.0.55.2,326,315,0,3.756864,12.765465,0.045107,0
1.000000,32,10.0.43.2,10.0.51.2,321,310,0,3.696864,12.765611,0.052280,0
1.000000,33,10.0.55.2,10.0.47.2,158,152,0,0.063264,12.160632,0.028102,0
1.000000,34,10.0.51.2,10.0.43.2,155,150,0,0.062432,12.131870,0.036210,0
1.000000,35,10.0.37.2,10.0.45.2,262,255,0,3.036864,8.498686,0.032760,0
1.000000,36,10.0.57.2,10.0.65.2,253,242,0,2.880864,12.810587,0.101707,0
1.000000,37,10.0.45.2,10.0.37.2,128,124,0,0.051616,8.111284,0.016490,0
1.000000,38,10.0.65.2,10.0.57.2,121,116,0,0.048288,12.152024,0.100909,0
1.000000,39,10.0.42.2,10.0.50.2,236,225,0,2.676864,12.798136,0.074290,0
1.000000,40,10.0.50.2,10.0.42.2,113,108,0,0.044960,12.124870,0.093512,0
1.000000,41,10.0.39.2,10.0.47.2,221,213,0,2.532864,8.499042,0.033000,0
1.000000,42,10.0.47.2,10.0.39.2,107,103,0,0.042880,8.041161,0.030512,0
1.000000,43,10.0.20.2,10.0.28.2,214,206,0,2.448864,8.490004,0.019449,0
1.000000,44,10.0.67.2,10.0.75.2,211,203,0,2.412864,8.495786,0.023535,0
1.000000,45,10.0.60.2,10.0.68.2,202,190,0,2.256864,12.898147,0.093132,0
1.000000,46,10.0.28.2,10.0.20.2,103,100,0,0.041632,8.024722,0.005686,0
1.000000,47,10.0.75.2,10.0.67.2,102,98,0,0.040800,8.047984,0.021154,0
1.000000,48,10.0.38.2,10.0.46.2,201,194,0,2.304864,8.503064,0.032060,0
1.000000,49,10.0.68.2,10.0.60.2,95,90,0,0.037472,12.112199,0.051320,0
1.000000,50,10.0.61.2,10.0.69.2,189,177,0,2.100864,12.949115,0.125735,0
1.000000,51,10.0.46.2,10.0.38.2,97,94,0,0.039136,8.233041,0.017098,0
1.000000,52,10.0.19.2,10.0.27.2,192,185,0,2.196864,8.496713,0.026335,0
1.000000,53,10.0.69.2,10.0.61.2,89,84,0,0.034976,12.099253,0.061395,0
1.000000,54,10.0.27.2,10.0.19.2,93,89,0,0.037056,8.023157,0.008490,0
1.000000,55,10.0.74.2,10.0.18.2,138,127,0,1.500864,12.870644,0.125558,0
1.000000,56,10.0.18.2,10.0.74.2,64,58,0,0.024160,12.150941,0.066283,0
1.000000,57,10.0.48.2,10.0.56.2,56,49,0,0.564864,8.566539,0.088494,0
1.000000,58,10.0.56.2,10.0.48.2,25,21,0,0.008768,8.086400,0.105504,0
1.000000,59,10.0.79.2,10.0.23.2,26,14,0,0.144864,12.784493,0.053798,0
1.000000,60,10.0.69.2,10.0.77.2,41,34,0,0.384864,8.558429,0.151378,0
1.000000,61,10.0.77.2,10.0.69.2,17,13,0,0.005440,8.088975,0.055840,0
1.000000,62,10.0.46.2,10.0.54.2,17,12,0,0.120864,12.629901,0.050422,0
1.000000,63,10.0.23.2,10.0.79.2,7,6,0,0.002528,12.215578,0.000312,0
1.000000,64,10.0.54.2,10.0.46.2,6,3,0,0.001280,12.167161,0.018224,0
1.000000,65,10.0.41.2,10.0.49.2,1,1,0,0.000448,12.147521,0.000000,0
1.000000,66,10.0.49.2,10.0.41.2,1,0,0,0.000000,0.000000,0.000000,0
1.000000,67,10.0.18.2,10.0.26.2,1,1,0,0.000448,8.018560,0.000000,0
1.000000,68,10.0.26.2,10.0.18.2,1,0,0,0.000000,0.000000,0.000000,0
2.000000,1,10.0.51.2,10.0.59.2,863,863,0,10.356000,8.551112,0.014990,0
2.000000,2,10.0.59.2,10.0.51.2,431,432,0,0.179712,8.252502,0.025994,0
2.000000,3,10.0.30.2,10.0.38.2,863,862,0,10.344000,12.750904,0.028240,0
2.000000,4,10.0.38.2,10.0.30.2,431,432,0,0.179712,12.160261,0.068562,0
2.000000,5,10.0.77.2,10.0.21.2,864,864,0,10.368000,12.751992,0.022461,0
2.000000,6,10.0.34.2,10.0.42.2,864,863,0,10.356000,8.561905,0.007113,0
2.000000,7,10.0.42.2,10.0.34.2,431,432,0,0.179712,8.096589,0.035885,0
2.000000,8,10.0.21.2,10.0.77.2,432,431,0,0.179296,12.192459,0.068841,0
2.000000,9,10.0.78.2,10.0.22.2,863,863,0,10.356000,12.753412,0.023141,0
2.000000,10,10.0.22.2,10.0.78.2,431,431,0,0.179296,12.193259,0.058425,0
2.000000,11,10.0.22.2,10.0.30.2,863,863,0,10.356000,8.580744,0.010608,0
2.000000,12,10.0.30.2,10.0.22.2,431,432,0,0.179712,8.147590,0.036306,0
2.000000,13,10.0.49.2,10.0.57.2,864,863,0,10.356000,8.484234,0.005049,0
2.000000,14,10.0.57.2,10.0.49.2,431,432,0,0.179712,8.099685,0.021494,0
2.000000,15,10.0.71.2,10.0.79.2,863,863,0,10.356000,8.612623,0.016853,0
2.000000,16,10.0.79.2,10.0.71.2,432,431,0,0.179296,8.271265,0.039170,0
2.000000,17,10.0.59.2,10.0.67.2,863,863,0,10.356000,12.772703,0.020898,0
2.000000,18,10.0.70.2,10.0.78.2,863,863,0,10.356000,8.483071,0.004537,0
2.000000,19,10.0.67.2,10.0.59.2,432,432,0,0.179712,12.167465,0.017078,0
2.000000,20,10.0.78.2,10.0.70.2,432,431,0,0.179296,8.148249,0.030075,0
2.000000,21,10.0.56.2,10.0.64.2,863,863,0,10.356000,12.761701,0.019439,0
2.000000,22,10.0.64.2,10.0.56.2,431,431,0,0.179296,12.113470,0.063475,0
2.000000,23,10.0.36.2,10.0.44.2,864,863,0,10.356000,8.522836,0.004747,0
2.000000,24,10.0.44.2,10.0.36.2,431,432,0,0.179712,8.110248,0.049221,0
2.000000,25,10.0.28.2,10.0.36.2,863,862,0,10.344000,12.748666,0.025439,0
2.000000,26,10.0.36.2,10.0.28.2,431,432,0,0.179712,12.162950,0.020161,0
2.000000,27,10.0.63.2,10.0.71.2,863,863,0,10.356000,12.762425,0.019552,0
