time,flowId,srcIP,dstIP,txPkts,rxPkts,lostPkts,throughputMbps,delayMs,jitterMs,label
1.000000,1,10.0.51.2,10.0.59.2,5282,5282,0,63.360864,8.057459,0.000754,0
1.000000,2,10.0.59.2,10.0.51.2,5281,5191,0,2.159488,8.004162,0.000454,0
1.000000,3,10.0.30.2,10.0.38.2,3302,3302,0,39.600864,12.084245,0.001443,0
1.000000,4,10.0.38.2,10.0.30.2,3301,3211,0,1.335808,12.004609,0.000992,0
1.000000,5,10.0.77.2,10.0.21.2,3032,2997,0,35.940864,12.098853,0.001937,0
1.000000,6,10.0.34.2,10.0.42.2,4652,4652,0,55.800864,8.055657,0.000480,0
1.000000,7,10.0.42.2,10.0.34.2,4651,4561,0,1.897408,8.001906,0.000035,0
1.000000,8,10.0.21.2,10.0.77.2,2996,2941,0,1.223488,12.003558,0.001110,0
1.000000,9,10.0.78.2,10.0.22.2,2942,2852,0,34.200864,12.084995,0.001211,0
1.000000,10,10.0.22.2,10.0.78.2,2851,2851,0,1.186048,12.006973,0.000892,0
1.000000,11,10.0.22.2,10.0.30.2,4202,4202,0,50.400864,8.070903,0.000978,0
1.000000,12,10.0.30.2,10.0.22.2,4201,4111,0,1.710208,8.002139,0.000084,0
1.000000,13,10.0.49.2,10.0.57.2,4112,4022,0,48.240864,8.058525,0.000681,0
1.000000,14,10.0.57.2,10.0.49.2,4021,4021,0,1.672768,8.003557,0.000176,0
1.000000,15,10.0.71.2,10.0.79.2,3932,3932,0,47.160864,8.063530,0.001076,0
1.000000,16,10.0.79.2,10.0.71.2,3931,3841,0,1.597888,8.007293,0.000669,0
1.000000,17,10.0.59.2,10.0.67.2,2312,2239,0,26.844864,12.088161,0.001284,0
1.000000,18,10.0.70.2,10.0.78.2,3572,3482,0,41.760864,8.061495,0.001264,0
1.000000,19,10.0.67.2,10.0.59.2,2238,2221,0,0.923968,12.005955,0.000662,0
1.000000,20,10.0.78.2,10.0.70.2,3481,3481,0,1.448128,8.006488,0.000890,0
1.000000,21,10.0.56.2,10.0.64.2,2222,2132,0,25.560864,12.109353,0.003713,0
1.000000,22,10.0.64.2,10.0.56.2,2131,2131,0,0.886528,12.006400,0.002302,0
1.000000,23,10.0.36.2,10.0.44.2,2852,2852,0,34.200864,8.063024,0.000824,0
1.000000,24,10.0.44.2,10.0.36.2,2851,2761,0,1.148608,8.001728,0.000000,0
1.000000,25,10.0.28.2,10.0.36.2,1682,1592,0,19.080864,12.097554,0.002871,0
1.000000,26,10.0.36.2,10.0.28.2,1591,1591,0,0.661888,12.007912,0.001881,0
1.000000,27,10.0.63.2,10.0.71.2,1502,1412,0,16.920864,12.102930,0.002240,0
1.000000,28,10.0.71.2,10.0.63.2,1411,1411,0,0.587008,12.009540,0.000938,0
1.000000,29,10.0.65.2,10.0.73.2,2132,2132,0,25.560864,8.064621,0.001026,0
1.000000,30,10.0.73.2,10.0.65.2,2131,2041,0,0.849088,8.001728,0.000000,0
1.000000,31,10.0.47.2,10.0.55.2,1232,1232,0,14.760864,12.107225,0.006409,0
1.000000,32,10.0.43.2,10.0.51.2,1232,1142,0,13.680864,12.108239,0.003463,0
1.000000,33,10.0.55.2,10.0.47.2,1231,1141,0,0.474688,12.012637,0.006074,0
1.000000,34,10.0.51.2,10.0.43.2,1141,1141,0,0.474688,12.003866,0.001710,0
1.000000,35,10.0.37.2,10.0.45.2,1502,1502,0,18.000864,8.121011,0.002753,0
1.000000,36,10.0.57.2,10.0.65.2,962,872,0,10.440864,12.131742,0.007927,0
1.000000,37,10.0.45.2,10.0.37.2,1501,1411,0,0.587008,8.001728,0.000000,0
1.000000,38,10.0.65.2,10.0.57.2,871,871,0,0.362368,12.006874,0.004136,0
1.000000,39,10.0.42.2,10.0.50.2,872,782,0,9.360864,12.120800,0.003289,0
1.000000,40,10.0.50.2,10.0.42.2,781,781,0,0.324928,12.004405,0.000404,0
1.000000,41,10.0.39.2,10.0.47.2,1232,1232,0,14.760864,8.084587,0.002928,0
1.000000,42,10.0.47.2,10.0.39.2,1231,1141,0,0.474688,8.001728,0.000000,0
1.000000,43,10.0.20.2,10.0.28.2,1232,1142,0,13.680864,8.080710,0.002383,0
1.000000,44,10.0.67.2,10.0.75.2,1232,1142,0,13.680864,8.078974,0.001916,0
1.000000,45,10.0.60.2,10.0.68.2,692,692,0,8.280864,12.129887,0.004322,0
1.000000,46,10.0.28.2,10.0.20.2,1141,1141,0,0.474688,8.002263,0.000371,0
